name,function,category,subcategory,code_url,resource_url,description,language,link_check
Dyno-Path,Producing Data,Other multimodal data formats,,https://github.com/osplanning-data-standards/dyno-path,,Demand format suitable for dynamic network models,EN,Not sure
GTFS-ride,Producing Data,Other multimodal data formats,,https://github.com/ODOT-PTS/GTFS-ride,https://gtfsride.org/,GTFS-ride is an open standard for storing and sharing fixed-route transit ridership data.,EN,Looks good
GTFS-stat,Producing Data,Other multimodal data formats,,https://github.com/osplanning-data-standards/GTFS-STAT,,Report of GTFS performance compared to schedule.,EN,Not sure
GMNS,Producing Data,Other multimodal data formats,,https://github.com/zephyr-data-specs/GMNS,https://zephyr-data-specs.github.io/GMNS/,The General Modeling Network Specification (GMNS) defines a common machine (and human) readable format for sharing routable road network files. It is designed to be used in multi-modal static and dynamic transportation planning and operations models.,EN,Looks good
GTNS,Producing Data,Other multimodal data formats,,,https://zephyrtransport.org/trb17projects/7-general-travel-network-specification/,,EN,Looks good
IXSI,Producing Data,Other multimodal data formats,,https://github.com/RWTH-i5-IDSG/ixsi,,"IXSI is a interface for exchanging information between a Travel Information System and a Ride Sharing System (Carsharing, Bikesharing).",EN,Not sure
MTLFS,Producing Data,Other multimodal data formats,,https://github.com/vta/Managed-and-Tolled-Lanes-Feed-Specification,,Proposal for a schema that comprise the Managed and Tolled Lanes Tolling Feed Specification (MTLFS) and defines the fields used in all of those files.,EN,Not sure
MaaS API,Producing Data,Other multimodal data formats,,https://github.com/maasglobal/maas-tsp-api/blob/master/specs/Booking.md,,"This is the WhimApp TSP (Transport service provider) API repository, containing OpenAPI specification, JSON schema for data model and examples.",EN,Not sure
NCHRP 08-119,Producing Data,Other multimodal data formats,,,http://apps.trb.org/cmsfeed/TRBNetProjectDisplay.asp?ProjectID=4543,"The objective of this research is to develop tools, methods, and guidance for improving data integration, sharing, and management practices to enable transportation agencies, in collaboration with private-sector and public-sector stakeholders, to make better planning and operations decisions. Secondary benefits will be increased uniformity of data across states and improved consistency of practice.",EN,Looks good
OMX,Producing Data,Other multimodal data formats,,https://github.com/osPlanning/omx,https://github.com/osPlanning/omx/wiki,An OMX matrix file is a structured collection of two-dimensional array objects and associated metadata. OMX is built on top of the well-established HDF5 scientific data storage standard. ,EN,Looks good
OJP,Producing Data,Other multimodal data formats,,https://github.com/VDVde/OJP,https://www.vdv.de/projekte.aspx,Open API for distributed journey planning. CEN/TS 17118:2017.,"EN, DE",Looks good
OSDM,Producing Data,Other multimodal data formats,,https://github.com/UnionInternationalCheminsdeFer/OSDM,https://osdm.io/,Projects related to an open sales & distribution API for public transportation.,EN,Looks good
SAE Shared and Digital Mobility Committee,Producing Data,Other multimodal data formats,,,http://articles.sae.org/15799/,"Public and private partnerships to standardize data, share data, and protect sensitive data are being formed to help understand—and at the same time define—shared-mobility’s potential to transform the transportation network.",EN,Not sure
shared-row,Producing Data,Other multimodal data formats,,https://github.com/d-wasserman/shared-row,,This is an open data specification for describing the right-of-way (ROW) for street centerline networks. It is intended to establish a common set of attributes (schema) to describe how space is allocated along a streets right of way from sidewalk edge to sidewalk edge.,EN,Looks good
TCRP G-16,Producing Data,Other multimodal data formats,,,http://apps.trb.org/cmsfeed/TRBNetProjectDisplay.asp?ProjectID=4120,Development of Transactional Data Specifications for Demand-Responsive Transportation,EN,Not sure
TIDES,Producing Data,Other multimodal data formats,,https://github.com/TIDES-transit/TIDES,https://tides-transit.org/main/,"TIDES is the Transit Integrated Data Exchange Specification and is your key to accessing, managing, and using transit operations data.",EN,Reference source
GraphHopper Routing Engine,Producing Data,Software for Creating APIs,,https://github.com/graphhopper/graphhopper/#public-transit,https://www.graphhopper.com/open-source/,Open source routing engine for OpenStreetMap. Use it as Java library or standalone web server.,"EN, DE",Looks good
gtfs-server,Producing Data,Software for Creating APIs,,https://github.com/denysvitali/gtfs-server,https://denysvitali.github.io/gtfs-server/gtfs_server/index.html,A General Transit Feed Specification (GTFS) server written in Rust. Expose a REST API,EN,Looks good
hafas-rest-api,Producing Data,Software for Creating APIs,,https://github.com/public-transport/hafas-rest-api,,Expose a HAFAS client via an HTTP REST API.,EN,Looks good
Linked Connections,Producing Data,Software for Creating APIs,,https://github.com/linkedconnections/gtfs2lc,http://linkedconnections.org/,"Instead of publishing a dump of time schedules or a fully-fledged route planner, Linked Connections puts forward a publishing mechanism that gives clients access to the data ready to be used by a route planning algorithm. ",EN,Looks good
Mobroute,Producing Data,Software for Creating APIs,,,http://sr.ht/~mil/mobroute,Mobroute is a general purpose FOSS public transportation router (e.g. trip planner) Go library and CLI that works by directly ingesting timetable (GTFS) data from transit agencies themselves (sourced from the Mobility Database).,EN,Looks good
MOTIS,Producing Data,Software for Creating APIs,,https://github.com/motis-project/motis,,"multimodal routing, geocoding, and map tiles",EN,Looks good
Navitia,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,https://github.com/hove-io/navitia,https://doc.navitia.io/#getting-started,The open source software to build cool stuff with locomotion,"EN, FR",Looks good
OneBusAway,Producing Data,Software for Creating APIs,,,http://onebusaway.org/,"OneBusAway is a suite of open source transit information tools that enable transit agencies to provide real-time vehicle locations, alerts, and arrival information to riders, with iOS and Android apps, a web platform, and robust APIs, as well as back office support.",EN,Looks good
OpenTripPlanner,Producing Data,Software for Creating APIs,,https://github.com/opentripplanner/OpenTripPlanner,http://www.opentripplanner.org/,"OpenTripPlanner (OTP) is a family of open source software projects that provide passenger information and transportation network analysis services. The core server-side Java component finds itineraries combining transit, pedestrian, bicycle, and car segments through networks built from widely available, open standard OpenStreetMap and GTFS data.",EN,Looks good
Simple Transit Api,Producing Data,Software for Creating APIs,,https://github.com/ioTransit/simple-transit-api,,A simple transit api written in Go with gtfsparser and Echo,EN,Looks good
Transitous,Producing Data,Software for Creating APIs,,https://github.com/public-transport/transitous,https://transitous.org,Transitous is a community-run provider-neutral international public transport routing service. Using openly available data and a FOSS routing engine we operate a free to use routing service that does not stop at borders.,EN,Looks good
The Mobility Database,Sharing Data,Places to access data,3rd party GTFS URL directories,https://github.com/MobilityData/mobility-database-catalogs,https://mobilitydatabase.org/,"Explore and Access Global Transit Data, with more than 400 feeds.",EN,Looks good
Transitland,Sharing Data,Places to access data,3rd party GTFS URL directories,,https://transit.land/,"Transitland is an open data platform powered by GTFS, GTFS Realtime, GBFS, and other open data feeds from 2,500+ transit operators across 55+ countries .",EN,Looks good
TransitData.io,Sharing Data,Places to access data,3rd party GTFS URL directories,,https://transitdata.io/,Estamos mapeando el transporte en Latinoamérica,ES,Looks good
CapMetrics,Sharing Data,Places to access data,Transit agency data archives,https://github.com/scascketta/CapMetrics,,"This repo contains vehicle location data provided by Capital Metro. The data describing the routes, schedules etc is described by a standard format called GTFS.",EN,Deprecated
capmetricsd,Sharing Data,Places to access data,Transit agency data archives,https://github.com/scascketta/capmetricsd,,A Go daemon for archiving data from GTFS-realtime feeds.,EN,Deprecated
Bus Observatory API,Sharing Data,Places to access data,Transit agency data archives,,https://api.busobservatory.org/,"The Bus Observatory is a public archive of real-time data on vehicle movements and status, collected from transit systems around the world. This free service is provided by the Jacobs Urban Tech Hub at Cornell Tech.",EN,Not sure
National Transit Database (USA),Sharing Data,Places to access data,National government datasets,,https://www.transit.dot.gov/ntd,"After data reporting was required by Congress in 1974, the FTA's National Transit Database (NTD) was set up to be the repository of data about the financial, operating and asset conditions of American transit systems.",EN,Looks good
transport.data.gouv (France),Sharing Data,Places to access data,National government datasets,https://github.com/etalab/transport-site/,https://transport.data.gouv.fr/,French national access point to transport data,"EN, FR",Looks good
European transport feeds,Sharing Data,Places to access data,National government datasets,https://github.com/public-transport/european-transport-feeds,https://eu.data.public-transport.earth/,"Source code of the ""list of european transport feeds"" website.",EN,Not sure
Transport API,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,,https://www.transportapi.com/,We’re the UK’s leading managed services provider for transport data and power over 25% of transport operator apps by operator market share nationally!,EN,Behind paywall
NextBus API,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,,http://www.nextbus.com/xmlFeedDocs/NextBusXMLFeed.pdf,,EN,Looks good
HAFAS,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,,https://de.wikipedia.org/wiki/HAFAS,The HaCon timetable information system ( HAFAS ) is timetable information software from the company HaCon ( Hannover Consulting ). HaCon has been a wholly owned subsidiary of Siemens AG since 2017.,DE,Looks good
Citymapper API,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,,https://docs.external.citymapper.com/api/,Add journey planning and turn-by-turn navigation to your products with our APIs.,EN,Looks good
TripGo API,Sharing Data,Places to access data,Proprietary (non-standard) vendor APIs,,https://developer.tripgo.com,"TripGo's REST API delivers door-to-door itineraries that blend public transit, micromobility, rideshare, taxi and walking - complete with live departure times, fares, emissions and accessibility flags.",EN,Looks good
Citylines.co,Sharing Data,Places to access data,Crowdsourced transit data,,https://www.citylines.co,We want to map all the transit systems of the world.,EN,Looks good
OpenStreetMap (OSM),Sharing Data,Places to access data,Crowdsourced transit data,,https://www.openstreetmap.org,The largest contributive map,EN,Looks good
GTFS-Hub,Sharing Data,Places to access data,Crowdsourced transit data,https://github.com/mfdz/gtfs-hub,,"Collecting, shape-enhancing, validating, fixing and (partially) merging GTFS feeds",EN,Looks good
sample-gtfs-feed,Sharing Data,Places to access data,Sample GTFS and GTFS Realtime datasets,https://github.com/public-transport/sample-gtfs-feed,,An imaginary GTFS data set used for testing.,EN,Looks good
Transitland GTFS and GTFS Realtime unit tests,Sharing Data,Places to access data,Sample GTFS and GTFS Realtime datasets,https://github.com/interline-io/transitland-lib,https://pkg.go.dev/github.com/interline-io/transitland-lib/tl,"Library and tool for reading, writing, and processing transit data",EN,Looks good
Catenary Maps,Using Data,Consumer Apps,Web Apps (open source),,https://catenarymaps.org,"Catenary is a student-led non-profit organization at the cutting edge of transit and routing research, exploring and innovating ways to help people navigate the world around them.",EN,Looks good
Instabus,Using Data,Consumer Apps,Web Apps (open source),,http://instabus.org,,EN,Deprecated
OpenTripPlanner Client GWT,Using Data,Consumer Apps,Web Apps (open source),https://github.com/mecatran/OpenTripPlanner-client-gwt,,GWT client for OpenTripPlanner,EN,Not sure
OpenTripPlanner.js,Using Data,Consumer Apps,Web Apps (open source),https://github.com/conveyal/otp.js,,OTP Javascript Client & Data Bindings,EN,Deprecated
OTP-UI React Component Library,Using Data,Consumer Apps,Web Apps (open source),https://github.com/opentripplanner/otp-ui,,"React component library, which can be used to build trip planner webapps.",EN,Looks good
GTFS-realtime Alerts Producer Web Application,Using Data,Consumer Apps,Web Apps (open source),https://github.com/OneBusAway/onebusaway-service-alerts,,Web-based application for managing real-time transit service alerts.,EN,Deprecated
HRT BUS Web app,Using Data,Consumer Apps,Web Apps (open source),https://github.com/Code4HR/hrt-bus-api,http://api.hrtb.us/api,"API and Map app that transform, store, and expose HRT Bus data through a RESTful HTTP endpoint. Python, Heroku, @bschoenfeld",EN,Deprecated
Transit-Map,Using Data,Consumer Apps,Web Apps (open source),https://github.com/vasile/transit-map,,The server and client used in transit map simulations like swisstrains.ch,EN,Not sure
Transitive.js,Using Data,Consumer Apps,Web Apps (open source),https://github.com/conveyal/transitive.js,http://conveyal.github.io/transitive.js/,Transit data visualization,EN,Not sure
Google I/O Transport Tracker,Using Data,Consumer Apps,Web Apps (open source),https://github.com/googlemaps/transport-tracker,,Applications for tracking moving assets on a live map,EN,Deprecated
1-Click,Using Data,Consumer Apps,Web Apps (open source),https://github.com/camsys/oneclick,,Repo for the 1-Click VTCLI open-source project,EN,Deprecated
Bustime,Using Data,Consumer Apps,Web Apps (open source),,https://busti.me,Bus times across different cities with accessibility features,FR,Looks good
Transit Tracker,Using Data,Consumer Apps,Web Apps (open source),https://github.com/TransitTracker/frontend,https://transittracker.ca,An overview of the public transit network for different cities,EN,Looks good
Dede app,Using Data,Consumer Apps,Web Apps (open source),https://github.com/dancesWithCycles/dede-android,,,EN,Broken
MBTA tile-server,Using Data,Consumer Apps,Web Apps (open source),https://github.com/mbta/tile-server,,The goal of this repository is to facilitate the creation of a Docker container that encapsulates all the elements necessary to develop map tiles (OpenStreetMap) for use on MBTA.com. The resulting tile images are published to S3.,EN,Looks good
Cadê Meu Busão,Using Data,Consumer Apps,Web Apps (open source),https://github.com/tarifazero/monitoramento,https://tarifazerobh.org/cade-meu-busao/,Cadê Meu Busão is a tool designed to provide greater transparency regarding data related to the public bus transportation system in Belo Horizonte. ,"EN, PT",Looks good
Tiramisu Transit,Using Data,Consumer Apps,Web Apps (open source),https://github.com/CMU-RERC-APT/tiramisu3-pr,,Public Release version of Tiramisu3 (CMU transit information app),EN,Looks good
actionfigure.ai (TransitScreen),Using Data,Consumer Apps,Web Apps (closed source),,http://transitscreen.com/,"With our TransitScreen® displays, mobile and web apps, you can provide real-time transit information that makes travel easier, encourages sustainable choices, and makes your property a more connected and valuable place to be.",EN,Behind paywall
Bongo,Using Data,Consumer Apps,Web Apps (closed source),,http://ebongo.org,,EN,Deprecated
CityMapper Webapp,Using Data,Consumer Apps,Web Apps (closed source),,https://citymapper.com/nyc,CityMapper Webapp for New York City,EN,Looks good
TransSee,Using Data,Consumer Apps,Web Apps (closed source),,https://www.transsee.ca/,"TransSee is a web application that provides real-time bus tracking and next vehicle predictions to a growing list of transit agencies, including most of North America's largest systems, New York MTA, LA Metro, Chicago CTA and TransSee's home system the Toronto TTC.",EN,Looks good
YourStop,Using Data,Consumer Apps,Web Apps (closed source),,http://yourstop.info,Find a stop and get times,EN,Looks good
DC MetroHero,Using Data,Consumer Apps,Web Apps (closed source),,https://dcmetrohero.net,"We let you see the position of every Metrorail train in real time, giving you the clearest picture of the current state of the entire DC Metro system.",EN,Looks good
KDE Itinerary,Using Data,Consumer Apps,Native Apps (open source),,https://apps.kde.org/itinerary/,KDE Itinerary is a digital travel assistant that protects your privacy. It makes collecting all the information about your travel inside a single application easy and straightforward. KDE Itinerary is available for Plasma Mobile and Android.,EN,Behind login
MACS Transit Android App,Using Data,Consumer Apps,Native Apps (open source),https://github.com/yeSpud/MACSTransitApp,https://play.google.com/store/apps/details?id=fnsb.macstransit,"This is the source code for the dedicated bus tracker app for android devices for the MACS Transit system in Fairbanks, Alaska. This project was originally intended as an entry for the AK Dev alliance Hackathon in 2019, but development has continued after the event finalized.",EN,Looks good
Next Train - Connecticut,Using Data,Consumer Apps,Native Apps (open source),https://github.com/data-creative/NextTrainCT,,"A react-native mobile app for searching train schedules published by the Shore Line East transit agency in Connecticut, USA.",EN,Not sure
Offi Directions,Using Data,Consumer Apps,Native Apps (open source),https://gitlab.com/oeffi/oeffi,,"All-in-one app for public transit: trip planner (door to door), live departure times (including delays), nearby stations (also on a map) and interactive network plans.","EN, DE",Looks good
OneBusAway Android,Using Data,Consumer Apps,Native Apps (open source),,https://play.google.com/store/apps/details?id=com.joulespersecond.seattlebusbot,,EN,Looks good
OneBusAway Fire Phone,Using Data,Consumer Apps,Native Apps (open source),,http://www.amazon.com/gp/mas/dl/android?p=com.joulespersecond.seattlebusbot,,EN,Not sure
OneBusAway iOS,Using Data,Consumer Apps,Native Apps (open source),,https://itunes.apple.com/us/app/onebusaway/id329380089,,EN,Looks good
OneBusAway Windows Phone,Using Data,Consumer Apps,Native Apps (open source),,https://www.microsoft.com/en-us/store/apps/onebusaway/9nblggh0cbd9,,EN,Broken
OneBusAway Google Glass GDK,Using Data,Consumer Apps,Native Apps (open source),https://github.com/OneBusAway/onebusaway-android/pull/219,,,EN,Not sure
OneBusAway Alexa skill,Using Data,Consumer Apps,Native Apps (open source),,https://www.amazon.com/OneBusAway/dp/B01ELVUYCW/,,EN,Looks good
OpenTripPlanner Android,Using Data,Consumer Apps,Native Apps (open source),https://github.com/CUTR-at-USF/OpenTripPlanner-for-Android/wiki,,This project is an open-source Android client for the OpenTripPlanner project. It is designed to interface with any OpenTripPlanner server via the OTP RESTful API.,EN,Deprecated
OpenTripPlanner iOS,Using Data,Consumer Apps,Native Apps (open source),https://github.com/opentripplanner/OpenTripPlanner-iOS,,An iOS app that gives users the ability to plan trip itineraries powered by OpenTripPlanner.,EN,Not sure
opentripplanner-client-library,Using Data,Consumer Apps,Native Apps (open source),https://github.com/CUTR-at-USF/opentripplanner-client-library,,A Kotlin Multiplatform Mobile client library for the OpenTripPlanner project (http://www.opentripplanner.org/) server (v2 and higher),EN,Deprecated
Transito,Using Data,Consumer Apps,Native Apps (open source),http://git.sr.ht/~mil/transito,,FOSS data-provider-agnostic (GTFS) public transportation app; supports Android & Linux. Point-to-point directions without comprising user freedoms or privacy.,EN,Looks good
Tiramisu Transit,Using Data,Consumer Apps,Native Apps (open source),https://github.com/CMU-RERC-APT/tiramisu3-pr#mobile-app-client,,"This is the Public Release version of Tiramisu3, an adaptive mobile transit app that shows real-time bus arrival information developed and deployed by Carnegie Mellon University.",EN,Looks good
Transportr,Using Data,Consumer Apps,Native Apps (open source),https://github.com/grote/Transportr,https://transportr.app,Free Public Transport Assistant without Ads or Tracking,EN,Looks good
Trufi App,Using Data,Consumer Apps,Native Apps (open source),https://github.com/trufi-association/trufi-app,https://www.trufi.app/,Trufi-Core Adaptation for Cochabamba-Bolivia,EN,Looks good
Transit,Using Data,Consumer Apps,Native Apps (closed source),,http://transitapp.com/,"Our app makes it easy to navigate cities by bus, train, foot, and bike",EN,Looks good
CityMapper,Using Data,Consumer Apps,Native Apps (closed source),,https://citymapper.com/,Making Cities Usable,EN,Looks good
Moovit,Using Data,Consumer Apps,Native Apps (closed source),,http://moovitapp.com/,Get Anywhere With Moovit ,EN,Looks good
Transit Display,Using Data,Consumer Apps,Native Apps (closed source),,http://transitdisplay.com/,Redmon’s customizable Transit Display solution helps people find nearby transit options and information quickly.,EN,Behind paywall
Ualabee,Using Data,Consumer Apps,Native Apps (closed source),,https://ualabee.com/company/,The leading mobility solution in Latin America,"EN, ES",Behind paywall
ÖPNV Navigator,Using Data,Consumer Apps,Native Apps (closed source),,https://navigatorapp.net/,The Public Transport Navigator is your perfect companion for local and long-distance public transport. ,DE,Looks good
TripGo,Using Data,Consumer Apps,Native Apps (closed source),,https://tripgo.com/,"Door-to-door itineraries that blend public transit, micromobility, rideshare, taxi and walking - complete with live departure times, fares, emissions and accessibility flags.",EN,Looks good
Bus Tracking GPS,Using Data,Hardware,Experimental and production transit hardware.,https://github.com/herrdragon/busTrackingGps,,"Included original Ada Fruit GPS program, original GPRS HTTP POST program (from Pachube), and both programs combined and modified which is the one that is actually loaded to the Arduino. ",EN,Not sure
Train departure Display,Using Data,Hardware,Experimental and production transit hardware.,https://github.com/chrisys/train-departure-display,,"A replica, near real-time, miniature UK railway station train departure sign based upon a Raspberry Pi Zero and 256x64 SPI OLED display",EN,Looks good
TripKit,Using Data,SDKs,Experimental and production transit hardware.,https://github.com/alexander-albers/tripkit,,Swift library for querying data from public transport providers.,EN,Looks good
KPublicTransport,Using Data,SDKs,Experimental and production transit hardware.,https://invent.kde.org/libraries/kpublictransport,,"Library to assist with accessing public transport timetables and other data
",EN,Looks good
SkedGo's TripKit SDKs,Using Data,SDKs,Experimental and production transit hardware.,,https://developer.tripgo.com,"TripGo's REST API delivers door-to-door itineraries that blend public transit, micromobility, rideshare, taxi and walking - complete with live departure times, fares, emissions and accessibility flags.",EN,Looks good
All Transit,Using Data,Visualizations,GTFS Based Visualizations,https://all-transit.com,,,EN,Not sure
BusGraphs Access Analyzer,Using Data,Visualizations,GTFS Based Visualizations,https://gitlab.com/publictransitanalytics-pub/readme,,This is a tool for quantifying and exploring the amount of access allowed by transit and walking in arbitrary areas. ,EN,Behind login
fastest-bus-analysis-in-the-west,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/vta/fastest-bus-analysis-in-the-west,,"This program pulls data from different sources like Swiftly and ridership and other sources for bus and light rail routes, to better quantify and visualize ridership and speed information.",EN,Not sure
gtfspy-webviz,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/CxAalto/gtfspy-webviz,,Visualizing public transport schedule data (GTFS) interactively in a web-browser.,EN,Not sure
gtfs-to-geojson,Using Data,Visualizations,GTFS Based Visualizations,https://www.transit.chat/gtfs-to-geojson,,,EN,Broken
gtfs-visualizations,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/cmichi/gtfs-visualizations,http://micha.elmueller.net/2014/05/gtfs-visualizations/,The idea of this project is to generate beautiful and informative visualizations from publicly available GTFS datasets. The program draws the routes which transportation entities take and emphasizes the ones which are frequented more often by painting them thicker and in a stronger opacity.,EN,Not sure
Mapnificent,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/mapnificent/mapnificent,https://www.mapnificent.net/,Shows you areas you can reach with public transport in a given time.,EN,Looks good
MIT COAXS,Using Data,Visualizations,GTFS Based Visualizations,,http://mittransportanalyst.github.io/,Collaborative Accessibility-Based Stakeholder Engagement for transit planning,EN,Deprecated
MOTIS,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/motis-project/motis,https://matrix.to/#/#motis:matrix.org,MOTIS stands for Modular Open Transportation Information System. It is an open-source software platform designed to facilitate efficient planning and routing in multi-modal transportation systems. ,EN,Looks good
MTA Frequency,Using Data,Visualizations,GTFS Based Visualizations,,http://www.tyleragreen.com/maps/new_york/,,EN,Not sure
SEPTA Rail OTP Report,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/fulldecent/septa-regionalrail-otp,https://apps.phor.net/septa/,We log every train's location every minute from 2009 until present to recommend schedule changes for chronically late service.,EN,Looks good
Simple Transit Map,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/ioTransit/simple-transit-map,,Simple Transit Map is a way for transit agencies to generate simple to use transit maps that stay up to date with their GTFS.,EN,Looks good
Simple Transit Site,Using Data,Visualizations,GTFS Based Visualizations,https://transit.chat/simple-transit-site,,,EN,Broken
TNExT,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/ODOT-PTS/TNExT,,"The Transit Network Explorer Tool (TNExT) is a web-based software tool developed for the visualization, analysis, and reporting of regional and statewide transit networks in the state of Oregon.",EN,Not sure
Toronto Transit Explorer,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/sidewalklabs/totx,,"The Toronto Transit Explorer app visualizes transit, biking and walking accessibility across the city of Toronto.",EN,Deprecated
Transit Vis,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/zackAemmer/transit_vis,,Visualization Tool for GTFS-RT Bus Delays,EN,Looks good
TransitFlow,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/transitland/transitland-processing-animation,,Animating scheduled transit trips using the Transitland API and Processing,EN,Not sure
TRAVIC Transit Visualization Client,Using Data,Visualizations,GTFS Based Visualizations,,http://tracker.geops.ch/,"Our portal combines maps of many aspects of public transport and mobility in general, e.g. real-time vehicle positions, line network plans, transit-maps, fare networks, location and detailed information on stations. ","EN, DE",Looks good
Traze,Using Data,Visualizations,GTFS Based Visualizations,,https://traze.app/,,EN,Broken
Visualizing MBTA Data,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/mbtaviz/mbtaviz.github.io,http://mbtaviz.github.io/,An interactive exploration of Boston's subway system,EN,Looks good
GTFS Viz,Using Data,Visualizations,GTFS Based Visualizations,https://github.com/gabrielAHN/gtfs-viz,https://gtfs-viz-production-f1a4.up.railway.app/,A project renders at scale GTFS files on the client side only without backend,EN,Looks good
Brand New Subway,Using Data,Visualizations,Transit Map Creation,,https://jpwright.github.io/subway/,A transit network building game for New York City.,EN,Looks good
BENO Metro Map Creator,Using Data,Visualizations,Transit Map Creation,,https://beno.uk/metromapcreator/#,Draw a transit network.,EN,Looks good
Tennessine Metro Designer,Using Data,Visualizations,Transit Map Creation,,https://tennessine.co.uk/metro/,Create your very own metro map and share it with the world.,EN,Looks good
loom,Using Data,Visualizations,Transit Map Creation,https://github.com/ad-freiburg/loom,,Software suite for the automated generation of geographically correct or schematic transit maps.,EN,Looks good
Metro Map Maker,Using Data,Visualizations,Transit Map Creation,,https://metromapmaker.com/,Draw a metro map.,EN,Looks good
MetroDreamin',Using Data,Visualizations,Transit Map Creation,https://github.com/the-nemz/metro-dreamin,https://metrodreamin.com/explore,MetroDreamin' allows you to design and visualize the transportation system that you wish your city had.,EN,Looks good
Rail Map Generators,Using Data,Visualizations,Transit Map Creation,https://github.com/railmapgen/rmg,https://railmapgen.org/?app=rmg,Tool for generating railway maps and information panels in the styles of various cities' public transportation systems,"EN, CN, JP, KR",Looks good
MetroSets,Using Data,Visualizations,Transit Map Creation,,https://metrosets.ac.tuwien.ac.at/,MetroSets is a flexible web tool to visualize set systems using the metro map metaphor. ,EN,Looks good
Adobe illustrator,Using Data,Visualizations,Transit Map Creation,,https://www.adobe.com/ca/products/illustrator.html,,EN,Behind paywall
Inkscape,Using Data,Visualizations,Transit Map Creation,,https://inkscape.org/,Open source drawing software,EN,Looks good
Felt,Using Data,Visualizations,Transit Map Creation,,https://felt.com/,"Make maps, apps, and dashboards in seconds",EN,Behind paywall
Google Mymaps,Using Data,Visualizations,Transit Map Creation,,https://www.google.ca/maps/about/mymaps/,Create and share custom maps with Google My Maps.,EN,Looks good
Google Earth,Using Data,Visualizations,Transit Map Creation,,https://www.google.com/earth/about/,"No-code geospatial evaluation and analysis tools from Google Earth enable faster, more holistic decision making and seamless collaboration.",EN,Behind paywall
UrbanRail.Net,Using Data,Visualizations,Transit Map Aggregation,,http://www.urbanrail.net/,Transit maps across the world,EN,Not sure
OpenRailwayMap,Using Data,Visualizations,Transit Map Aggregation,,https://www.openrailwaymap.org/,Railway map across the world,EN,Looks good
AllRailMap,Using Data,Visualizations,Transit Map Aggregation,,https://www.allrailmap.com/,"Railway map across the world. Tools used: Tilemill, Mapnik, OpenStreetMap-carto & Sublime Text.",EN,Looks good
European Railway Atlas,Using Data,Visualizations,Transit Map Aggregation,,https://europeanrailwayatlas.com/,"Shows all of Europe’s railways in a single volume and includes around 23,000 locations. It includes such things as electrification systems, gauges and heritage railways.",EN,Behind paywall
Rail Transit Maps,Using Data,Visualizations,Transit Map Aggregation,,http://www-personal.umich.edu/~yopopov/rrt/railroadmaps/,Here you will find railroad maps of Europe and Russia. ,EN,Looks good
Tramscale,Using Data,Visualizations,Transit Map Aggregation,,https://alexander.co.tz/tramscale/,Tramway (Streetcar & Light Rail) Scale Comparison,EN,Looks good
Timelines,Using Data,Visualizations,Transit Map Aggregation,,https://alexander.co.tz/timelines/,Rapid Transit Timelines and Scale Comparison,EN,Looks good
Metrolinemap,Using Data,Visualizations,Transit Map Aggregation,,https://www.metrolinemap.com/,Metrolinemap.com offers you the world's metro lines embedded within a map.,EN,Looks good
Metrocyclopaedia,Using Data,Visualizations,Transit Map Aggregation,,https://blog.csaladen.es/metro/,Metrocyclopaedia 🚇 Interactive map of all metro systems of the world,EN,Looks good
RailFansCanada,Using Data,Visualizations,Transit Map Aggregation,https://github.com/RailFansCanada/RailFansMap,https://map.railfans.ca/,"Interactive System Map detailing the route of different urban rail systems including Ottawa, Gatineau, Montreal, and Toronto.",EN,Looks good
North American Transit,Using Data,Visualizations,Transit Map Aggregation,,https://www.google.com/maps/d/u/0/viewer?mid=1GAXiiEp8a62LvZNDueYN76NPTCoUxvdx&ll=43.71257881237152%2C-79.385523993394&z=11,Map of all Passenger Rail in North America (and some BRT),EN,Looks good
Intercity Rail map,Using Data,Visualizations,Transit Map Aggregation,,https://asm.transitdocs.com/,This site shows the data from Amtrack A Train Service,EN,Looks good
Indian Railways Map,Using Data,Visualizations,Transit Map Aggregation,,https://indiarailinfo.com/atlas,Train times in India,EN,Looks good
National Rail Network Map,Using Data,Visualizations,Transit Map Aggregation,,https://www.arcgis.com/apps/mapviewer/index.html?webmap=96ec03e4fc8546bd8a864e39a2c3fc41,Train routes in North America,EN,Looks good
